WiFi signal stength at 10-08-2016 11:45 Link Quality=70/70  Signal level=-39 dBm GT:12
WiFi signal stength at 10-08-2016 11:55 Link Quality=62/70  Signal level=-48 dBm GT:08
WiFi signal stength at 10-08-2016 12:00 Link Quality=59/70  Signal level=-51 dBm GT:10
WiFi signal stength at 10-08-2016 12:05 Link Quality=58/70  Signal level=-52 dBm GT:10
WiFi signal stength at 10-08-2016 12:10 Link Quality=57/70  Signal level=-53 dBm GT:09
WiFi signal stength at 10-08-2016 12:15 Link Quality=59/70  Signal level=-51 dBm GT:10
WiFi signal stength at 10-08-2016 12:20 Link Quality=61/70  Signal level=-49 dBm GT:09
WiFi signal stength at 10-08-2016 12:25 Link Quality=61/70  Signal level=-49 dBm GT:10
WiFi signal stength at 10-08-2016 12:35 Link Quality=56/70  Signal level=-54 dBm GT:08
WiFi signal stength at 10-08-2016 12:40 Link Quality=61/70  Signal level=-49 dBm GT:09
WiFi signal stength at 10-08-2016 12:45 Link Quality=60/70  Signal level=-50 dBm GT:09
WiFi signal stength at 10-08-2016 13:00 Link Quality=61/70  Signal level=-49 dBm GT:08
WiFi signal stength at 10-08-2016 13:15 Link Quality=62/70  Signal level=-48 dBm GT:04
WiFi signal stength at 10-08-2016 13:20 Link Quality=62/70  Signal level=-48 dBm GT:06
WiFi signal stength at 10-08-2016 13:25 Link Quality=60/70  Signal level=-50 dBm GT:05
WiFi signal stength at 10-08-2016 13:30 Link Quality=61/70  Signal level=-49 dBm GT:06
WiFi signal stength at 10-08-2016 13:35 Link Quality=63/70  Signal level=-47 dBm GT:07
WiFi signal stength at 10-08-2016 13:40 Link Quality=63/70  Signal level=-47 dBm GT:07
WiFi signal stength at 10-08-2016 14:00 Link Quality=62/70  Signal level=-48 dBm GT:04
WiFi signal stength at 10-08-2016 14:30 Link Quality=64/70  Signal level=-46 dBm GT:08
WiFi signal stength at 10-08-2016 14:40 Link Quality=63/70  Signal level=-47 dBm GT:07
WiFi signal stength at 10-08-2016 14:45 Link Quality=59/70  Signal level=-51 dBm GT:08
WiFi signal stength at 10-08-2016 15:00 Link Quality=60/70  Signal level=-50 dBm GT:10
WiFi signal stength at 10-08-2016 15:10 Link Quality=60/70  Signal level=-50 dBm GT:09
WiFi signal stength at 10-08-2016 15:20 Link Quality=57/70  Signal level=-53 dBm GT:10
WiFi signal stength at 10-08-2016 15:45 Link Quality=60/70  Signal level=-50 dBm GT:09
WiFi signal stength at 10-08-2016 15:55 Link Quality=62/70  Signal level=-48 dBm GT:09
WiFi signal stength at 15-08-2016 19:30 Link Quality=54/70  Signal level=-56 dBm GT:0
WiFi signal stength at 15-08-2016 19:35 Link Quality=56/70  Signal level=-54 dBm GT:0
WiFi signal stength at 15-08-2016 19:40 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 19:44 Link Quality=53/70  Signal level=-57 dBm GT:0
WiFi signal stength at 15-08-2016 19:49 Link Quality=55/70  Signal level=-55 dBm GT:0
WiFi signal stength at 15-08-2016 19:55 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 20:00 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 20:05 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 20:10 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 20:15 Link Quality=63/70  Signal level=-47 dBm GT:0
WiFi signal stength at 15-08-2016 20:20 Link Quality=58/70  Signal level=-52 dBm GT:0
WiFi signal stength at 15-08-2016 20:25 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 20:30 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 20:35 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 20:40 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 20:45 Link Quality=58/70  Signal level=-52 dBm GT:0
WiFi signal stength at 15-08-2016 20:50 Link Quality=60/70  Signal level=-50 dBm GT:0
WiFi signal stength at 15-08-2016 20:55 Link Quality=59/70  Signal level=-51 dBm GT:0
WiFi signal stength at 15-08-2016 21:00 Link Quality=61/70  Signal level=-49 dBm GT:0
WiFi signal stength at 15-08-2016 21:05 Link Quality=60/70  Signal level=-50 dBm GT:0
