DateTime,Room,Capacity,Module,NumReg,AvgNumWifiConn,PercentageEstimate,BinaryEstimate
2015-11-03 16:00:00,B-002,90,COMP40370P1,27,39.0,0.25,1
2015-11-04 16:00:00,B-002,90,COMP30250P1,22,20.0,0.25,1
2015-11-05 16:00:00,B-002,90,COMP30520P1,60,32.6667,0.0,0
2015-11-06 16:00:00,B-002,90,None,0,20.3333,0.5,1
2015-11-09 16:00:00,B-002,90,COMP40660P1,53,72.5,0.25,1
2015-11-10 16:00:00,B-002,90,COMP40370P1,27,35.1667,0.25,1
2015-11-11 16:00:00,B-002,90,COMP30250P1,22,23.5,0.25,1
2015-11-12 16:00:00,B-002,90,COMP30520P1,60,49.8333,0.25,1
2015-11-13 16:00:00,B-002,90,None,0,8.6667,0.25,1
2015-11-03 09:00:00,B-002,90,None,0,2.0,0.0,0
2015-11-04 09:00:00,B-002,90,COMP30190,29,14.0,0.25,1
2015-11-05 09:00:00,B-002,90,None,0,2.1667,0.0,0
2015-11-06 09:00:00,B-002,90,COMP30220,38,2.6667,0.0,0
2015-11-09 09:00:00,B-002,90,COMP30190,29,14.8333,0.25,1
2015-11-10 09:00:00,B-002,90,None,0,1.0,0.0,0
2015-11-11 09:00:00,B-002,90,COMP30190,29,12.8333,0.25,1
2015-11-12 09:00:00,B-002,90,None,0,4.0,0.0,0
2015-11-13 09:00:00,B-002,90,COMP30220,38,6.5,0.0,0
2015-11-03 10:00:00,B-002,90,COMP30110,45,29.0,0.5,1
2015-11-04 10:00:00,B-002,90,COMP40660,53,14.1667,0.25,1
2015-11-05 10:00:00,B-002,90,COMP30110,45,33.1667,0.5,1
2015-11-06 10:00:00,B-002,90,None,0,3.5,0.0,0
2015-11-09 10:00:00,B-002,90,COMP40660,53,17.5,0.25,1
2015-11-10 10:00:00,B-002,90,COMP30110,45,24.4,0.0,0
2015-11-11 10:00:00,B-002,90,COMP40660,53,10.1667,0.0,0
2015-11-12 10:00:00,B-002,90,COMP30110,45,27.1667,0.25,1
2015-11-13 10:00:00,B-002,90,None,0,7.0,0.0,0
